1;Czuła przewodniczka. Kobieca droga do siebie;2021;Agora SA;69;static/covers/2599906721525.jpg;<div class="value"><b>„Czuła przewodniczka. Kobieca droga do siebie” to bestsellerowy poradnik dla kobiet zainteresowanych rozwojem osobistym</b>. Jego premiera miała miejsce na początku 2021 roku. Autorką „Czułej przewodniczki” jest Natalia de Barbaro – polska psycholożka, dziennikarka oraz twórczyni autorskich warsztatów dla kobiet pt. „Własny pokój”. Jej ojcem jest Bogdan de Barbaro, czyli jeden z najwybitniejszych polskich psychoterapeutów i psychiatrów.<br/><br/>Książka „Czuła przewodniczka” opowiada o rolach, w jakie bezwolnie wchodzi wiele kobiet. Należą do nich: <b>Potulna, Męczennica oraz Królowa Śniegu</b>. Natalia de Barbaro dekonstruuje każdą z nich i pokazuje, w jaki sposób założone maski pogarszają jakość naszego codziennego życia. <br/><br/>Autorka namawia nas do porzucenia tych ról i poddania się opiece naszej <b>wewnętrznej Czułej Przewodniczki</b>, z uwagą, ale też wyrozumiałością pomagającej nam odkrywać własną kobiecość. Droga ta, choć niełatwa, z czasem może stać się dla nas źródłem satysfakcji oraz poczucia głębszego zrozumienia siebie i otaczającej nas rzeczywistości.<br/><br/><b>„Czuła przewodniczka” okazała się jednym z bestsellerów czytelniczych 2021 roku. </b>Zdobyła ona szereg pozytywnych opinii, w tym Doroty Wellman i Magdy Mołek.<br/><br/>Książka została opatrzona licznymi kolażami ilustratorki <b>Anety Klejnowskiej</b>, które wzbogacają płynący z poszczególnych rozdziałów przekaz. Każda z części „Czułej przewodniczki” została również wzbogacona w miejsce na własne notatki. Zapisuj je, gdy tylko któryś z fragmentów okaże się dla Ciebie inspirującą wskazówką.<br/></div>
2;Afekt. Seria z Joanną Chyłką. Tom 13;2021;Czwarta Strona;16;static/covers/2599906735425-1.jpg;<div class="value"><strong>Nowa książka Remigiusza Mroza. Trzynasty tom serii z Joanną Chyłką.</strong><br/><br/><br/><br/>W nowej kancelarii prawnej Joannie Chyłce zostaje przydzielona sprawa będąca jej zawodowym koszmarem: ma bronić pedofila. Sytuację komplikuje fakt, że oskarżonym jest brat jednego z najważniejszych polityków w Polsce – kandydata na prezydenta, który przed wyborami przoduje w sondażach. Sprawa skupia na sobie uwagę wszystkich mediów, gdyż jej finał przesądzi nie tylko o losie oskarżonego, ale najprawdopodobniej także o wyniku wyborów.<br/><br/>Życie zawodowe Chyłki komplikuje się coraz bardziej, ale to nie koniec problemów. Prawdziwe zaczną się, kiedy w życiu Kordiana pojawi się pewna dziewczyna z jego przeszłości<br/></div>
3;Zaginiona siostra. Cykl Siedem Sióstr. Tom 7;2021;Albatros;76;static/covers/6599906734465-6.jpg;<div class="value"><b>Bajeczna i pełna przygód podróż dookoła świata w poszukiwaniu Merope, zaginionej siódmej siostry D’Apliese!<br/><br/>NIECIERPLIWIE WYCZEKIWANE ZAMKNIĘCIE SAGI SIEDEM SIÓSTR, JEDNEJ Z NAJPOPULARNIEJSZYCH SERII OBYCZAJOWYCH NA ŚWIECIE.</b><br/><br/>Sześć sióstr. Choć urodziły się na różnych kontynentach, wychowały się w bajecznej posiadłości na prywatnym półwyspie Jeziora Genewskiego. Adopcyjny ojciec nadał im imiona mitycznych Plejad. Każda ułożyła sobie życie po swojemu i rzadko mają okazję spotkać się wszystkie razem. Do domu ściąga je niespodziewana śmierć ojca, który zostawił każdej list i wskazówki mogące im pomóc w odkryciu własnych korzeni. I w odnalezieniu odpowiedzi na pytanie, co się stało z siódmą siostrą.<br/><br/>Podążając za sensacyjnymi doniesieniami prawnika rodziny, Georga Hoffmana, który być może ustalił tożsamość zaginionej siostry, Maja i Ally wpadają na jej trop w winnicy w Nowej Zelandii. Znajdują też rysunek niezwykłego pierścienia ze szmaragdem w kształcie gwiazdy. Dla dziewcząt rozpoczyna się wyścig z czasem, aby jak najszybciej odnaleźć Zaginioną Siostrę, żeby mogła razem z pozostałymi siostrami złożyć wieniec na Morzu Egejskim, w miejscu, gdzie Ally ostatnio widziała jacht ojca, Pa Salta.<br/><br/>Niestety Mary McDougal, właścicielka pierścienia, która jako jedyna może potwierdzić, że jej córka Mary Kay rzeczywiście jest Zaginioną Siostrą, właśnie wyruszyła w podróż dookoła świata. Siostry udają się więc kolejno do Nowej Zelandii, Kanady, Anglii, Francji i Irlandii, ale nieuchwytna Merope wciąż wymyka im się z rąk. Wygląda na to, że wcale nie chce, by ją odnaleziono.<br/><br/>Zapomniana przeszłość, skomplikowane relacje uczuciowe i łamiące serca sekrety to znaki rozpoznawcze książek Lucindy Riley. Czytelniczki na całym świecie pokochały <em>Siedem Sióstr</em>, jej nastrojową, pełną magii sagę rodzinną o siedmiu siostrach D"Apliese, których przyszłość zapisana jest w gwiazdach. <br/><br/><br/><em>Nie ma drugiej tak czarującej, tak utalentowanej i tak niezwykłej pisarki jak Lucinda Riley. Jej książki nigdy nie są puste, przelukrowane ani powtarzalne. Często mam wrażenie, że autorka napisała coś specjalnie dla mnie jakby jej proza była odpowiedzią na problemy, które noszę w sercu.</em><br/><br/>Anna Stasiuk, Dla Lejdis<br/><br/><br/><br/></div>
4;Potęga podświadomości (wydanie nowe uzupełnione);2020;Świat Książki;56;static/covers/4199906629241.jpg;<div class="value"><b>Potęga podświadomości</b> to jeden z najlepszych i najskuteczniejszych poradników, jakie kiedykolwiek napisano. Ta książka pomogła milionom ludzi na całym świecie osiągnąć upragnione cele jedynie dzięki zmianie sposobu myślenia. Teraz do rąk czytelników trafia nowe wydanie uzupełnione komentarzami z nigdy nie publikowanych prac Autora.<br/><br/><br/>Rewolucyjne techniki doktora Murphy’ego opierają się na sprawdzonej zasadzie: Jeśli uwierzysz w coś bez zastrzeżeń i możesz to zobrazować w swoim umyśle, usuniesz podświadome przeszkody, które powstrzymują cię przed osiągnięciem upragnionego celu, a twoja wiara stanie się rzeczywistością.<br/><br/><br/><br/>Ten niezwykły poradnik pomoże ci uwolnić umysł i przekaże praktyczne wskazówki, dzięki którym osiągniesz sukces, prestiż i dobrobyt, zdobędziesz przyjaciół, umocnisz szczęśliwe małżeństwo, pokonasz lęki, pozbędziesz się złych nawyków i nałogów.<br/><br/><br/><b>Opanuj proste techniki przedstawione w POTĘDZE PODŚWIADOMOŚCI i odkryj, jak łatwo możesz usunąć psychiczne bariery między tobą a twoimi marzeniami.</b><br/></div>
5;Terapeutka;2021;Albatros;48;static/covers/x999906726609-3.jpg;<div class="value"><p><b>NOWA POWIEŚĆ AUTORKI BESTSELLERA <em>ZA ZAMKNIĘTYMI DRZWIAMI</em>.<br/><br/>B.A. PARIS W WIELKIM STYLU POWRACA DO GATUNKU THRILLERA PSYCHOLOGICZNEGO!</b></p><br/><p>Budząca dreszcz grozy opowieść o wymarzonym domu, który skrywa mroczną tajemnicę…<br/><br/>Alice i Leo wprowadzają się do świeżo wyremontowanego domu na ekskluzywnym zamkniętym osiedlu. Właśnie spełnia się ich marzenie. Ale pozory mogą mylić.<br/><br/>Wkrótce Alice zaczyna poznawać sąsiadów i odkrywa przerażający sekret domu, w którym zamieszkała. Co więcej, odczuwa coraz silniejszą więź z Niną, terapeutką, do której wcześniej ten dom należał.<br/><br/>Tragiczne wydarzenia sprzed lat stają się obsesją Alice. Tym bardziej że gdy tylko z kimkolwiek porusza ten temat, wszyscy nabierają wody w usta. Mieszkańcy ekskluzywnego osiedla pilnie strzegą swoich sekretów. I nie są tak doskonali, jak się na pozór wydaje… </p><br/><p>B.A. Paris była czterokrotnie nominowana do BESTSELLERA EMPiKu (jej książki trafiły na listę bestsellerów EMPiKu w sumie aż 91 razy!) i trzykrotnie znalazła się w finale plebiscytu Książka Roku Lubimyczytać.pl.<br/><br/><em>Wybornie utkana pajęcza sieć kłamstw! </em> Jane Corry, bestsellerowa autorka thrillera „I Made a Mistake”<br/><br/><em>Mroczna i pełna napięcia historia, na którą składają się podejrzenia, zdrady i mroczne sekrety kryjące się tuż pod powierzchnią pozornie idealnego życia na przedmieściach.</em> TM Logan, bestsellerowy autor powieści „The Catch”<br/><br/><em>Wymarzony dom Alice kryje sekret niczym z nocnego koszmaru. Nowy, niesamowicie wciągający thriller B.A. Paris połknęłam, niemal dławiąc się z ciekawości.</em> Louise Candlish, bestsellerowa autorka thrillera „The Other Passenger”<br/><br/><em>B.A. Paris z każdą kolejną książką jest coraz lepsza. Ależ to się czyta! </em> Mel McGrath, bestsellerowa autorka powieści „The Guilty Party”<br/><br/><em>Sekrety, kłamstwa, paranoja i niepokojące uczucie klaustrofobii w zamkniętej społeczności podmiejskiego osiedla. Ta powieść jest aż gęsta od suspensu!</em> Kia Abdullah, autorka książki „Truth Be Told”<br/><br/><em>Nie mogłam się oderwać! Całkowicie pochłonęła mnie ta kręta sieć tajemnic przenikająca złowrogą, zamkniętą społeczność!</em> Roz Watkins, autorka książki „Cut to the Bone”</p></div>
6;Kajś. Opowieść o Górnym Śląsku;2020;Czarne;11;static/covers/4299906684042.jpg;<div class="value"><p> <span>Przez większość życia uważałem Ślązaków za jaskiniowców z kilofem i roladą. Swoją śląskość wypierałem. W podstawówce pani Chmiel grała nam na akordeonie <i>Rotę</i>, a ja nie miałem pojęcia, że ów plujący w twarz Niemiec z pieśni był moim przodkiem.</span></p> <p> O swoich korzeniach wiedziałem mało. Nie wierzyłem, że na Śląsku przed wojną odbyła się jakakolwiek historia. Moi antenaci byli jakby z innej planety, nosili jakieś niemożliwe imiona: Urban, Reinhold, Liselotte.</p> <p> Później była ta nazistowska burdelmama, major z Kaukazu, pradziadek na „delegacjach” w Polsce we wrześniu 1939, nagrobek z zeskrobanym nazwiskiem przy kompoście. Coś pękało. Pojąłem, że za płotem wydarzyła się alternatywna historia, dzieje odwrócone na lewą stronę. Postanowiłem pokręcić się po okolicy, spróbować złożyć to w całość. I czego tam nie znalazłem: blisko milion ludzi deklarujących „nieistniejącą” narodowość, katastrofę ekologiczną nieznanych rozmiarów, opowieści o polskiej kolonii, o separatyzmach i ludzi kibicujących nie tej reprezentacji co trzeba. Oto nasza silezjogonia.</p> <p> Zbigniew Rokita</p></div>
7;Pucio w mieście. Zabawy językowe dla młodszych i starszych dzieci;2021;Nasza Księgarnia;39;static/covers/6x99906719760.jpg;<div class="value"><p> Odwiedźcie Pucia i jego wesołą rodzinkę, spędzając z nimi pełen ekscytujących zdarzeń czas w mieście! Zajrzyjcie na plac budowy, do supermarketu, na dworzec kolejowy, do parku, gabinetu taty i na wystawę cioci Igi. Z tym sympatycznym maluchem, ulubionym towarzyszem dzieci w stawianiu pierwszych kroków w nauce mowy, na pewno nie będziecie się nudzić!</p> <p> Szósta część przygód Pucia może służyć zarówno dzieciom młodszym, jak i starszym przedszkolakom. Jej celem jest wzbogacenie słownika dziecka o nazwy nowych obiektów i czynności oraz rozwinięcie umiejętności opowiadania.</p> <p> <strong>Dr n. hum. Marta Galewska-Kustra </strong>– mama, logopedka i pedagożka dziecięca, pedagożka twórczości, pisarka. Zajmuje się rozwijaniem kreatywności oraz terapią opóźnionego rozwoju mowy i wad artykulacyjnych u dzieci. Wieloletni pracownik naukowy Akademii Pedagogiki Specjalnej im. Marii Grzegorzewskiej w Warszawie. Autorka bestsellerowej serii książek wspierających rozwój mowy dziecka „Uczę się mówić, wymawiać, opowiadać”. Każdą wolną chwilę poświęca na spisywanie nowych przygód, które dyktują jej mucha Fefe i Pucio. Od 2018 mama małego Krasnala.</p> <p> <strong>Joanna Kłos </strong>ukończyła grafikę na Akademii Sztuk Pięknych w Krakowie, dyplom obroniła w Pracowni Projektowania Plakatu. Przez kilkanaście lat pracowała jako graficzka, by wreszcie zostawić „pracę na etacie” i zająć się ilustracją. Wspólnie z siostrą prowadzi pracownię lalek Kalikayo. Uwielbia czekoladę z pomarańczą i piesze wyprawy ze swoimi psami.</p><br/><br/><br/></div>
8;Szepty spoza nicości. Cykl z Sewerynem Zaorskim. Tom 3;2021;Filia;67;static/covers/1899906722118.jpg;<div class="value">Seweryn Zaorski po raz ostatni wraca do Żeromic, by sprzedać dom i na dobre zostawić za sobą tragiczną przeszłość. Formalności trwają dłużej, niż powinny – i wszystko wskazuje na to, że ktoś z premedytacją chce zatrzymać go w okolicy.<br/><br/>Tego samego dnia policja otrzymuje anonimową wiadomość, że w lasach Roztocza nieopodal miasteczka znajdują się poćwiartowane zwłoki brutalnie okaleczonego mężczyzny. Zaorski nie ma zamiaru się mieszać, ale kiedy o pomoc prosi go Kaja Burzyńska, nie potrafi odmówić.<br/><br/>Spoza nicości zaczynają dochodzić szepty tych, którzy nie mieli prawa przemówić…<br/></div>
9;Niewidzialne życie Addie LaRue;2021;We need YA;0;static/covers/1199906726111.jpg;<div class="value">Czy warto zaprzedać duszę diabłu, żeby zdobyć wolność? Adeline stwierdza, że tak, choć później gorzko żałuje swojej decyzji. Nawet wieczna młodość traci swój smak, kiedy masz przed sobą widmo potępienia.<br/><br/><h2>O fabule książki „Niewidzialne życie Addie LaRue”</h2>Książka „Niewidzialne życie Addie LaRue” <b>przenosi czytelnika do XVIII-wiecznej Francji</b>. Młoda kobieta o imieniu Adeline właśnie szykuje się do ślubu. Małżeństwo nie jest jej marzeniem, wręcz przeciwnie – dziewczyna za wszelką cenę pragnie zmienić swój los. Ostatecznie decyduje się na ucieczkę sprzed ołtarza, pozostawiając w osłupieniu niedoszłego męża i całą swoją rodzinę.<br/><br/>Bohaterka nie ma się gdzie podziać, więc pozostaje jej jedynie modlitwa. Na desperackie wezwanie odpowiada ktoś, po kim zupełnie by się tego nie spodziewała. Tajemniczy, demoniczny Luc proponuje dziewczynie wolność i wieczną młodość w zamian za jej duszę. W umowie jest jeszcze jeden kruczek – <b>żadna osoba na świecie nie będzie mogła zapamiętać Adeline</b>, co skaże ją na życie w samotności.<br/><br/>Mija 300 lat. Addie LaRue przybywa do Nowego Jorku. W pewnej księgarni spotyka kogoś kto… ją zapamiętuje. To nowy początek, a może kolejna szatańska sztuczka? Bohaterka nie może być tego pewna, ale przeczuwa, że zbliżają się poważne kłopoty.<br/><br/><h2>V.E. Schwab – autorka „Niewidzialnego życia Addie La Rue”</h2>Victoria Schwab to amerykańska pisarka, która zdobyła rozpoznawalność dzięki <b>seriom fantasy „Świat Verity” i „Odcienie magii”</b>. Jej powieść „Niewidzialne życie Addie LaRue” tuż po premierze zdobyła status bestsellera New York Timesa.<br/></div>
10;Wybaczam ci;2021;Czwarta Strona;44;static/covers/7399906767573.jpg;<div class="value">Ina Kobryn prowadzi spokojne, uporządkowane życie. Spełnia się w pracy, wraz z mężem stara się o dziecko i właściwie nie ma powodów do zmartwień. Wszystko zmienia się, gdy pewnej nocy siada przed laptopem i dostrzega, że mąż nie wylogował się ze swojego konta na Facebooku. Jej wzrok pada na krótką wiadomość o treści „wybaczam ci”, pochodzącą od nieznajomej dziewczyny.<br/><br/>Bagatelizuje sprawę, ale gdy budzi się rano, okazuje się, że nadawczyni popełniła samobójstwo na samym środku placu Konstytucji w Warszawie. Ina stara się odnaleźć wiadomość, ta jednak znika bez śladu. Mąż zaś twierdzi, że nie ma pojęcia, kim jest dziewczyna, która odebrała sobie życie, ani co stało się z wiadomością.<br/><br/>Ina zaczyna odkrywać, że to nie jedyna tajemnica, którą ukrywał przed nią partner…<br/></div>
